geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hd_1,hd_2,hd_3,con_1,con_2,con_3
Os03g0250400,35.01599042,7.322574219,1.268956193,5.77054926,7.90E-09,3.48E-07,7.520014065,7.409754012,7.961092465,6.382921164,6.382921164,6.55525767
Os12g0561900,16.36197252,7.194952424,1.316564342,5.464945537,4.63E-08,1.68E-06,7.302009003,7.129201478,7.366399333,6.382921164,6.382921164,6.382921164
Os05g0458500,12.0279875,6.752528434,1.373899965,4.914861786,8.88E-07,2.18E-05,7.045658763,7.336333085,7.018331078,6.382921164,6.382921164,6.382921164
Os02g0318450,11.8702775,6.732308675,1.373799154,4.90050431,9.56E-07,2.33E-05,7.322430964,7.049033389,7.018331078,6.382921164,6.382921164,6.382921164
Os12g0132500,11.63231903,6.702714556,1.372319206,4.884224113,1.04E-06,2.51E-05,7.045658763,7.034638366,7.295868898,6.382921164,6.382921164,6.382921164
Os01g0159200,50.11504053,6.352472397,0.900257353,7.056284937,1.71E-12,1.71E-10,7.932568834,7.908570894,7.812263597,6.382921164,6.626926636,6.55525767
Os05g0189900,8.043762991,6.171678441,1.45762697,4.234058896,2.30E-05,0.000363458,6.808996385,7.129201478,7.048817432,6.382921164,6.382921164,6.382921164
Os05g0135500,7.268750318,6.024999644,1.454624868,4.141961118,3.44E-05,0.000512352,6.894183398,7.004780807,7.033764727,6.382921164,6.382921164,6.382921164
Os02g0171500,26.74686033,6.022678395,1.201726692,5.011687297,5.40E-07,1.44E-05,7.045658763,7.24514931,7.955715764,6.559612555,6.382921164,6.55525767
Os01g0358100,7.201492492,6.01276109,1.493909142,4.02485059,5.70E-05,0.000790052,6.931669201,7.153929596,6.786726269,6.382921164,6.382921164,6.382921164
Os01g0605500,6.897328002,5.950873736,1.56570454,3.800764183,0.000144251,0.001703475,6.853588726,7.223370041,6.668918923,6.382921164,6.382921164,6.382921164
Os08g0101100,6.834087401,5.93654394,1.538312089,3.859128445,0.000113792,0.00138781,6.667542939,7.090343399,7.033764727,6.382921164,6.382921164,6.382921164
Os03g0250301,87.57052113,5.927492023,0.666514022,8.893274306,5.93E-19,2.27E-16,7.970072664,7.991502474,8.786310739,6.63264485,6.68158831,6.62649732
Os05g0435800,6.761929105,5.920105411,1.49292996,3.965427429,7.33E-05,0.00096319,7.102269594,6.824330601,6.915815903,6.382921164,6.382921164,6.382921164
Os11g0155975,6.590444903,5.883784434,1.478409036,3.979808221,6.90E-05,0.000919959,6.874321505,6.989265537,6.986202904,6.382921164,6.382921164,6.382921164
Os04g0656500,6.516507521,5.866313751,1.522036585,3.854252787,0.000116084,0.001412351,7.045658763,6.725366165,7.018331078,6.382921164,6.382921164,6.382921164
Os06g0727000,6.508126857,5.864557406,1.50281589,3.902379157,9.53E-05,0.001193465,6.931669201,6.801840916,7.077878741,6.382921164,6.382921164,6.382921164
Os02g0571300,6.490369728,5.860982432,1.49907749,3.909726129,9.24E-05,0.001164578,7.074587268,6.824330601,6.915815903,6.382921164,6.382921164,6.382921164
Os05g0386700,6.414865496,5.845680731,1.50646996,3.880383204,0.000104292,0.00129033,6.831864286,7.090343399,6.87668196,6.382921164,6.382921164,6.382921164
Os05g0400100,12.70169847,5.843510293,1.38728881,4.212180082,2.53E-05,0.000393235,7.015312373,6.939978273,7.431543702,6.559612555,6.382921164,6.382921164
